entityID,phrase,phrase_partial,source_text,dest_text,audio_asset,image_asset
0,0,0,one,uno,0,0
1,0,0,two,dos,0,0
2,0,0,three,tres,0,0
3,0,0,four,cuatro,0,0
4,0,0,five,cinco,0,0
5,0,0,six,seis,0,0
6,0,0,seven,siete,0,0
7,0,0,eight,ocho,0,0
8,0,0,nine,nueve,0,0
9,0,0,ten,diez,0,0
10,0,0,Monday,Lunes,0,0
11,0,0,Tuesday,Martes,0,0
12,0,0,Wednesday,Miercoles,0,0
13,0,0,Thursday,Jueves,0,0
14,0,0,Friday,Viernes,0,0
15,0,0,Saturday,Sabado,0,0
16,0,0,Sunday,Domingo,0,0
17,0,0,Red,Rojo,0,0
18,0,0,Orange,Naranja,0,0
19,0,0,Yellow,Amarillo,0,0
20,0,0,Green,Verde,0,0
21,0,0,Blue,Azul,0,0
22,0,0,Purple,Morado,0,0
23,0,0,Pink ,Rosa,0,0
24,0,0,White,Blanco,0,0
25,0,0,Black,Negro,0,0
26,0,0,Brown,Marron,0,0
27,0,0,A,a,0,0
28,0,0,B,be,0,0
29,0,0,C,ce,0,0
30,0,0,Ch,che,0,0
31,0,0,D,de,0,0
32,0,0,E,e,0,0
33,0,0,F,efe,0,0
34,0,0,G,ge,0,0
35,0,0,H,hache,0,0
36,0,0,I,i,0,0
37,0,0,J,jota,0,0
38,0,0,K,ca,0,0
39,0,0,L,ele,0,0
40,0,0,LL,elle,0,0
41,0,0,M,eme,0,0
42,0,0,N,ene,0,0
43,0,0,ñ,EñE,0,0
44,0,0,O,o,0,0
45,0,0,P,pe,0,0
46,0,0,Q,cu,0,0
47,0,0,R,ere,0,0
48,0,0,RR,erre,0,0
49,0,0,S,ese,0,0
50,0,0,T,te,0,0
51,0,0,U,u,0,0
52,0,0,V,ve,0,0
53,0,0,W,doble ve,0,0
54,0,0,X,equis,0,0
55,0,0,Y,i griega,0,0
56,0,0,Z,zeta,0,0
57,0,0,Bread,-Pan,0,0
58,0,0,Milk,Leche,0,0
59,0,0,Potatoes,Patatas,0,0
60,0,0,Crisps,Patatas fritas,0,0
61,0,0,Juice,Zumo,0,0
62,0,0,Pasta,Pasta,0,0
63,0,0,Pizza,Pizza,0,0
64,0,0,Burgers,Hamburguesas,0,0
65,0,0,Chicken,Pollo,0,0
66,0,0,Meat,Carne,0,0
67,0,0,Fish,Pescado,0,0
68,0,0,Fruit,Fruta,0,0
69,0,0,Cereals,Cereales,0,0
70,0,0,Olives,Aceitunas,0,0
71,0,0,Spanish omellete,Tortilla española,0,0
72,0,0,Toast,Tostada,0,0
73,0,0,Eggs,Huevos,0,0
74,0,0,Cheese,Queso,0,0
75,0,0,Vegetables,Verduras,0,0
76,0,0,Ham,Jamon,0,0
77,0,0,Sauce,Salsa,0,0
78,0,0,Coffee,Cafe,0,0
79,0,0,January,Enero,0,0
80,0,0,February,Febrero,0,0
81,0,0,March,Marzo,0,0
82,0,0,April,Abril,0,0
83,0,0,May,Mayo,0,0
84,0,0,June,Junio,0,0
85,0,0,July,Julio,0,0
86,0,0,August,Agosto,0,0
87,0,0,September,Septiembre,0,0
88,0,0,October,Octubre,0,0
89,0,0,November,Noviembre,0,0
90,0,0,December,Diciembre,0,0
91,0,0,11,once,0,0
92,0,0,12,doce,0,0
93,0,0,13,trece,0,0
94,0,0,14,catorce,0,0
95,0,0,15,quince,0,0
96,0,0,16,dieciséis,0,0
97,0,0,17,diecisiete,0,0
98,0,0,18,dieciocho,0,0
99,0,0,19,diecinueve,0,0
101,0,0,20,veinte,0,0
102,0,0,21,veintiuno,0,0
103,0,0,22,veintidós,0,0
104,0,0,23,veintitrés,0,0
105,0,0,24,veinticuatro,0,0
106,0,0,25,veinticinco,0,0
107,0,0,26,veintiséis,0,0
108,0,0,27,veintisiete,0,0
109,0,0,28,veintiocho,0,0
110,0,0,29,veintinueve,0,0
111,0,0,30,treinta,0,0
112,0,0,31,treinta y uno,0,0
113,0,0,32,treinta y dos,0,0
114,0,0,33,treinta y tres,0,0
115,0,0,34,treinta y cuatro,0,0
116,0,0,35,treinta y cinco,0,0
117,0,0,36,treinta y seis,0,0
118,0,0,37,treinta y siete,0,0
119,0,0,38,treinta y ocho,0,0
120,0,0,39,treinta y nueve,0,0
121,0,0,40,cuarenta,0,0
122,0,0,41,cuarenta y uno,0,0
123,0,0,42,cuarenta y dos,0,0
124,0,0,43,cuarenta y tres,0,0
125,0,0,44,cuarenta y cuatro,0,0
126,0,0,45,cuarenta y cinco,0,0
127,0,0,46,cuarenta y seis,0,0
